model,sentence,predicted_label,original_label,is_correct,intent_count
Mistral-3B, what flights go from dallas to denver after 3 pm,(atis_flight),(atis_flight),1,1
Mistral-3B, i would like an afternoon flight leaving tuesday san diego to indianapolis,(atis_flight),(atis_flight),1,1
Mistral-3B, all flights from boston to washington,(atis_flight),(atis_flight),1,1
Mistral-3B, i need a flight from philadelphia to denver,(atis_flight),(atis_flight),1,1
Mistral-3B, does american airlines fly from philadelphia to san francisco,(atis_flight),(atis_flight),1,1
Mistral-3B, show me flights between new york city and las vegas on sunday,(atis_flight),(atis_flight),1,1
Mistral-3B, show me all overnight flights from washington dc to san francisco and list their fares,(atis_flight),(atis_flight),1,1
Mistral-3B, are there any flights from denver to pittsburgh connecting in atlanta,(atis_flight),(atis_flight),1,1
Mistral-3B, show me one way flights from tampa to st louis departing before 10 am,(atis_flight),(atis_flight),1,1
Mistral-3B, whats the cheapest flight from denver to pittsburgh,(atis_flight),(atis_flight),1,1
Mistral-3B, looking for a flight from dc to denver colorado,(atis_flight),(atis_flight),1,1
Mistral-3B, from las vegas to phoenix,(atis_flight),(atis_flight),1,1
Mistral-3B, give me the flights with the fares on december twenty seventh from indianapolis to orlando,(atis_flight),(atis_flight),1,1
Mistral-3B, does delta fly from atlanta to san francisco,(atis_flight),(atis_flight),1,1
Mistral-3B, now i need flight information leaving atlanta and arriving in baltimore in the afternoon,(atis_flight),(atis_flight),1,1
Mistral-3B, show me all flights from boston to denver which arrive before noon on wednesday,(atis_flight),(atis_flight),1,1
Mistral-3B, what flights do you have between oakland and boston with a stopover in dallas fort worth,(atis_flight),(atis_flight),1,1
Mistral-3B, i would like a flight from denver to pittsburgh,(atis_flight),(atis_flight),1,1
Mistral-3B, what flights do you have from boston to pittsburgh on wednesday of next week after 6 pm,(atis_flight),(atis_flight),1,1
Mistral-3B, im trying to fly from denver to boston and i want a flight that serves a meal,(atis_flight),(atis_flight),1,1
Mistral-3B, flight information from denver to san francisco,(atis_flight),(atis_flight),1,1
Mistral-3B, show me delta flights from dallas to denver,(atis_flight),(atis_flight),1,1
Mistral-3B, show me all flights from pittsburgh to boston which leave before noon,(atis_flight),(atis_flight),1,1
Mistral-3B, flight 417 from cincinnati to dallas,(atis_flight),(atis_flight),1,1
Mistral-3B, give me the flights from pittsburgh to los angeles thursday evening,(atis_flight),(atis_flight),1,1
Mistral-3B, show me ground transportation in dallas please,(atis_flight),(atis_ground_service),0,1
Mistral-3B, what ground transportation is available from the pittsburgh airport,(atis_flight),(atis_ground_service),0,1
Mistral-3B, what is the cost for these flights from baltimore to philadelphia,(atis_flight),(atis_airfare),0,1
Mistral-3B, give me the round trip coach fare from baltimore to dallas,(atis_flight),(atis_airfare),0,1
Mistral-3B, what is the cheapest round trip fare from atlanta to pittsburgh,(atis_flight),(atis_airfare),0,1
Mistral-3B, can you tell me what aircraft is used for delta flight 1222 from kansas city to salt lake city,(atis_flight),(atis_aircraft),0,1
Mistral-3B, what kind of aircraft does delta fly before 8 am on august second from boston to denver,(atis_flight),(atis_aircraft),0,1
Mistral-3B, i would like the time of your earliest flight in the morning from philadelphia to washington on american airlines,(atis_flight),(atis_flight_time),0,1
Mistral-3B, what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,(atis_flight),(atis_flight_time),0,1
Mistral-3B, how many flights does each airline have with business class service,(atis_flight),(atis_quantity),0,1
Mistral-3B, what is bna,(atis_flight),(atis_abbreviation),0,1
Mistral-3B, how far is the airport from downtown pittsburgh,(atis_flight),(atis_distance),0,1
Mistral-3B, show me airlines with flights from pittsburgh to boston please,(atis_flight),(atis_airline),0,1
Mistral-3B, could you please tell me the airlines that fly from toronto to san diego,(atis_flight),(atis_airline),0,1
Mistral-3B, what city is mco,(atis_flight),(atis_city),0,1
Mistral-3B, what price is a limousine service in boston,(atis_flight),(atis_ground_fare),0,1
Mistral-3B, what is the name of the airport in philadelphia,(atis_flight),(atis_airport),0,1
Mistral-3B, flights and fares from denver to oakland,(atis_flight),(atis_flight#atis_airfare),0,1
Mistral-3B,"How much is the cheapest flight from Denver to Pittsburgh with a stop in Atlanta, and what are the early morning flights from Boston to Denver?",(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,"What is the cheapest one way fare from Atlanta to Boston, and also, I want a cheap flight from Denver to Atlanta.",(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,How much does it cost to fly on American from Dallas to Baltimore and give me the flights for American Airlines from Dallas to San Francisco.,(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,I would like to see the economy fares for Denver to Philadelphia while also showing me the flights from Miami to San Diego with one stop in Denver.,(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,I would like to see the economy fares for Pittsburgh to Philadelphia and know what the flights from Boston to Philadelphia are.,(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,"What's the lowest round trip fare from Dallas to Baltimore, and is there a flight leaving at 1505 from Pittsburgh to Baltimore on July twenty-fifth, 1991?",(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,Show me fares leaving on Tuesdays from Denver to Dallas and provide a schedule of flights from Washington to San Francisco with a stopover in Dallas.,(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,Show me fares from Baltimore to Philadelphia while also showing me the flights from Boston to San Francisco on United Airlines.,(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,How much does it cost to fly from Atlanta to San Francisco with a stopover in Dallas?,(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,Show me the cheapest one-way tickets from Atlanta to Dallas while also showing all flights from Baltimore to Dallas on Monday evening and the cost of each flight.,(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,I'd like information on the least expensive round trip airfare from Pittsburgh to Boston while also seeing all flights from Pittsburgh to Philadelphia again.,(atis_flight),"(atis_airfare, atis_flight)",0,2
Mistral-3B,"What flights from Milwaukee to San Jose on Wednesday are available on American Airlines, and what kind of aircraft is used on the first class American Airlines flight from Philadelphia to San Francisco with a stop in Dallas?",(atis_flight),"(atis_flight, atis_aircraft)",0,2
Mistral-3B,I'd like to make a trip from Washington to San Francisco and know what type of aircraft is used on the 8 AM flight from San Francisco to Atlanta.,(atis_flight),"(atis_flight, atis_aircraft)",0,2
Mistral-3B,"Show me early Friday morning flights from San Francisco to Boston, and also tell me what type of aircraft is used for flights leaving Denver and flying to San Francisco before 10 am.",(atis_flight),"(atis_flight, atis_aircraft)",0,2
Mistral-3B,Show me prices of all flights from Baltimore to Philadelphia less than 1000 dollars and from Baltimore to Dallas.,(atis_flight),"(atis_flight, atis_airfare)",0,2
Mistral-3B,Give me flights that arrive in Baltimore from Denver and show me round trip fares from Las Vegas to Houston nonstop.,(atis_flight),"(atis_flight, atis_airfare)",0,2
Mistral-3B,List flights from Boston to Pittsburgh leaving early in the morning on August sixth while also telling me how much the cheapest flight from Denver to Pittsburgh is.,(atis_flight),"(atis_flight, atis_airfare)",0,2
Mistral-3B,"I would like to find a flight from Charlotte, North Carolina to Las Vegas with a stopover in St. Louis, and also know the cost of a round trip flight from Pittsburgh to Atlanta beginning on April twenty-fifth and returning on May sixth.",(atis_flight),"(atis_flight, atis_airfare)",0,2
Mistral-3B,Give me flights from Denver to Baltimore while listing round trip fares from Denver to Philadelphia under 1000 dollars.,(atis_flight),"(atis_flight, atis_airfare)",0,2
Mistral-3B,Show me flights from Denver to Baltimore between 10 AM and 2 PM and the prices of all flights from Atlanta to Washington DC.,(atis_flight),"(atis_flight, atis_airfare)",0,2
Mistral-3B,"What is the least expensive flight from Baltimore to San Francisco, and what does it cost to fly from Boston to Oakland on United Airlines?",(atis_flight),"(atis_flight, atis_airfare)",0,2
