model,sentence,predicted_label,original_label,is_correct,intent_count
Llama-1B, us air flights departing from charlotte around 1 pm,(atis_flight),(atis_flight),1,1
Llama-1B, is there a flight from nashville to houston in the evening tomorrow,(atis_flight),(atis_flight),1,1
Llama-1B,"Show me all the prices of flights from Baltimore to Dallas and I would like an afternoon flight from Denver, Colorado to Dallas, Texas.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, list all the landings at general mitchell international,(atis_flight),(atis_flight),1,1
Llama-1B,"I would like a flight from Philadelphia to San Francisco, and can you tell me what airline flies between Denver and San Francisco?","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"Show me the prices of first class tickets on US Air round trip from Cleveland to Miami while giving me flights that arrive in Baltimore from Atlanta, Denver, and Pittsburgh.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, flights from newark new jersey to cleveland,(atis_flight),(atis_flight),1,1
Llama-1B,What flights are there on Wednesday evening from Denver to SFO and which airlines serve Denver?,"(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B, tell me about flights from salt lake city to st petersburg,(atis_flight),(atis_flight),1,1
Llama-1B,I would like to schedule a flight on American Airlines from Philadelphia to San Francisco that makes a stop in Denver and find out what kind of aircraft is used on the first class flight while also knowing the cost of a round trip first class ticket on United Airlines from Denver to Baltimore on July seventh.,"(atis_aircraft, atis_airfare, atis_flight)","(atis_aircraft, atis_airfare, atis_flight)",1,3
Llama-1B,"I need flight information leaving Atlanta and arriving in Baltimore for Monday, and I also want to know what airlines fly between Boston and Atlanta.","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"What airlines fly between San Francisco and Denver, and is there a round trip flight from Baltimore to Denver connecting in Dallas?","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B, id like to fly from philadelphia to dallas through atlanta,(atis_flight),(atis_flight),1,1
Llama-1B,"What are the flights from Denver to Baltimore on United Airlines, including fares and flights from Baltimore to Philadelphia, and which airlines have flights between Philadelphia and Pittsburgh?","(atis_flight, atis_airfare, atis_airline)","(atis_flight, atis_airfare, atis_airline)",1,3
Llama-1B, what flights are there between nashville and st louis which are nonstop and arrive after noon and before 8 pm,(atis_flight),(atis_flight),1,1
Llama-1B,"Show me the earliest flight on Thursday from Atlanta to Washington, tell me the type of aircraft used on the flight from Atlanta to Philadelphia before 12 o'clock noon, and let me know how much it costs to fly from Boston to Atlanta.","(atis_aircraft, atis_airfare, atis_flight)","(atis_aircraft, atis_airfare, atis_flight)",1,3
Llama-1B,Which airlines have daily flights from Boston to Dallas while showing me round trip fares from New York to Miami and flights to Baltimore?,"(atis_airline, atis_airfare, atis_flight)","(atis_airline, atis_airfare, atis_flight)",1,3
Llama-1B,Show me the flight from Dallas to Boston tomorrow and the ground transportation options between the airport and downtown in Boston.,"(atis_ground_service, atis_flight)","(atis_ground_service, atis_flight)",1,2
Llama-1B,I want to know what airlines go from Atlanta to Baltimore and get a list of flights from Pittsburgh to Baltimore on Thursday that arrive before 10 AM.,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,Please show me airlines with flights from Boston to Denver and list the cost of all flights from Philadelphia to Denver airport next Sunday.,"(atis_airline, atis_airfare)","(atis_airline, atis_airfare)",1,2
Llama-1B,"Provide flights from Denver to Westchester County, New York on weekdays, and tell me what time the flight leaves Denver going to San Francisco on Continental Airlines and how many American Airlines flights leave Denver on June tenth.","(atis_flight, atis_flight_time, atis_quantity)","(atis_flight, atis_flight_time, atis_quantity)",1,3
Llama-1B, from las vegas to new york a nonstop twa and fare,(atis_flight),(atis_flight),1,1
Llama-1B,Please show me the number of first class flights United Airlines has departing from Boston today and also tell me about afternoon flights from Boston to San Francisco while letting me know the kind of aircraft United Airlines flies from Denver to San Francisco before 10 o'clock in the morning.,"(atis_flight, atis_quantity, atis_aircraft)","(atis_flight, atis_quantity, atis_aircraft)",1,3
Llama-1B,"What are the flights from Pittsburgh to Denver and back, and show fares and flights from Denver to Oakland.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"Now show me the flights from Denver to Atlanta, and I also want to know the cheapest fare from Atlanta to Boston.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"Please tell me what Delta flights are available to fly from Philadelphia to Boston, then give me the flight times for flying from Boston to Baltimore in the morning before 8, and also let me know which airlines fly from Boston to San Francisco.","(atis_flight, atis_flight_time, atis_airline)","(atis_flight, atis_flight_time, atis_airline)",1,3
Llama-1B,"I'd like to see flights from Baltimore to Atlanta and from Denver to Atlanta that arrive before noon, show me times for flights from San Francisco to Atlanta, and let me know if there are any other cities I can fly from Boston to Dallas through to get a flight earlier than 10:17 in the morning.","(atis_flight, atis_flight_time, atis_city)","(atis_flight, atis_flight_time, atis_city)",1,3
Llama-1B,Show me all direct flights from Dallas Fort Worth to either San Francisco or Oakland while also showing me one more time the first class fares from Baltimore to Dallas.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
